HolidayName`HolidayStart`HolidayEnd
-----------`------------`----------
BLOCK OUT DAY`2024-01-19 00:00:00.000`2024-01-19 00:00:00.000
BLOCK OUT DAY`2024-02-16 00:00:00.000`2024-02-16 00:00:00.000
Memorial Day`2024-05-27 00:00:00.000`2024-05-27 00:00:00.000
July 4th`2024-07-04 00:00:00.000`2024-07-05 00:00:00.000
Labor Day`2024-09-02 00:00:00.000`2024-09-02 00:00:00.000
Good Friday`2024-03-29 00:00:00.000`2024-03-29 00:00:00.000
Thanksgiving`2024-11-28 00:00:00.000`2024-11-29 00:00:00.000
Christmas`2024-12-24 00:00:00.000`2024-12-25 00:00:00.000
BLOCK OUT DAY`2024-03-15 00:00:00.000`2024-03-15 00:00:00.000
BLOCK OUT DAY`2024-04-12 00:00:00.000`2024-04-12 00:00:00.000
BLOCK OUT DAY`2024-05-10 00:00:00.000`2024-05-10 00:00:00.000
BLOCK OUT DAY`2024-06-14 00:00:00.000`2024-06-14 00:00:00.000
BLOCK OUT DAY`2024-07-12 00:00:00.000`2024-07-12 00:00:00.000
BLOCK OUT DAY`2024-08-09 00:00:00.000`2024-08-09 00:00:00.000
New Years`2024-12-31 00:00:00.000`2025-01-01 00:00:00.000

(15 rows affected)
