779143`MB`2024-04-08 00:00:00.000`0.0`0.75`0`0`
779143`MB`2024-04-08 00:00:00.000`0.0`0.5`0`0`
779143`CF`2024-04-09 00:00:00.000`0.0`0.10000000000000001`0`0`
779143`AB`2024-04-09 00:00:00.000`0.0`0.5`0`0`
779143`CF`2024-04-16 00:00:00.000`0.0`0.10000000000000001`0`0`
779143`CF`2024-04-16 00:00:00.000`0.0`0.10000000000000001`0`0`
779143`CF`2024-04-16 00:00:00.000`0.0`0.13`0`0`
779143`JT`2024-04-16 00:00:00.000`0.0`0.22`0`0`
779143`NJW`2024-04-17 00:00:00.000`0.0`0.25`0`0`
779143`NJW`2024-04-15 00:00:00.000`0.0`0.34999999999999998`0`0`
779143`MB`2024-04-15 00:00:00.000`0.0`1.0`0`0`
779143`CF`2024-04-15 00:00:00.000`0.0`0.25`0`0`
779143`EH`2024-04-15 00:00:00.000`0.0`0.25`0`0`
779143`AB`2024-04-16 00:00:00.000`0.0`3.2799999999999998`0`0`
779143`NJW`2024-04-16 00:00:00.000`0.0`0.34999999999999998`0`0`
779143`CF`2024-04-01 00:00:00.000`0.0`0.22`0`0`
779143`CF`2024-04-02 00:00:00.000`0.0`5.9999999999999998E-2`0`0`
779143`CF`2024-04-03 00:00:00.000`0.0`5.9999999999999998E-2`0`0`
779143`EH`2024-04-03 00:00:00.000`0.0`0.5`0`0`
779143`NJW`2024-04-04 00:00:00.000`0.0`0.25`0`0`
779143`AB`2024-04-02 00:00:00.000`0.0`6.2199999999999998`0`0`
779143`NJW`2024-04-02 00:00:00.000`0.0`0.34999999999999998`0`0`
779143`JT`2024-04-02 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`AE`2024-04-04 00:00:00.000`0.0`0.45000000000000001`4`0`
779143`EH`2024-04-04 00:00:00.000`0.0`0.25`0`0`
779143`AH`2024-04-05 00:00:00.000`0.0`0.66000000000000003`0`0`
779143`NJW`2024-04-05 00:00:00.000`0.0`0.25`0`0`
779143`AH`2024-04-05 00:00:00.000`0.0`0.5`0`0`
779143`AB`2024-04-05 00:00:00.000`0.0`0.25`0`0`
779143`AE`2024-04-01 00:00:00.000`0.0`0.45000000000000001`5`0`
779143`CF`2024-04-02 00:00:00.000`0.0`0.23000000000000001`0`0`
779143`CF`2024-04-02 00:00:00.000`0.0`8.9999999999999997E-2`0`0`
779143`NJW`2024-04-03 00:00:00.000`0.0`0.34999999999999998`0`0`
779143`AB`2024-04-03 00:00:00.000`0.0`0.5`0`0`
779143`CF`2024-04-03 00:00:00.000`0.0`0.14999999999999999`0`0`
779143`AE`2024-04-05 00:00:00.000`0.0`0.29999999999999999`3`0`
779143`KJF`2024-04-05 00:00:00.000`0.0`0.75`0`0`
779143`JT`2024-04-06 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`JT`2024-04-06 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`JT`2024-04-06 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`JT`2024-04-06 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`JT`2024-04-06 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`AE`2024-04-09 00:00:00.000`0.0`0.25`2`0`
779143`MB`2024-04-09 00:00:00.000`0.0`0.75`0`0`
779143`CF`2024-04-08 00:00:00.000`0.0`0.20000000000000001`0`0`
779143`MB`2024-04-11 00:00:00.000`0.0`1.5`0`0`
779143`CF`2024-04-11 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`MB`2024-04-11 00:00:00.000`0.0`0.5`0`0`
779143`AE`2024-04-11 00:00:00.000`0.0`0.34999999999999998`3`0`
779143`JT`2024-04-12 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`JT`2024-04-12 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`NJW`2024-04-10 00:00:00.000`0.0`0.25`0`0`
779143`AB`2024-04-08 00:00:00.000`0.0`0.25`0`0`
779143`CF`2024-04-10 00:00:00.000`0.0`0.12`0`0`
779143`AB`2024-04-10 00:00:00.000`0.0`0.5`0`0`
779143`JT`2024-04-12 00:00:00.000`0.0`0.16`0`0`
779143`CF`2024-04-12 00:00:00.000`0.0`0.27000000000000002`0`0`
779143`CF`2024-04-12 00:00:00.000`0.0`0.10000000000000001`0`0`
779143`CF`2024-04-15 00:00:00.000`0.0`0.14000000000000001`0`0`
779143`AB`2024-04-15 00:00:00.000`0.0`0.5`0`0`
779142`AH`2024-04-01 00:00:00.000`0.0`0.25`0`0`
779142`EH`2024-04-01 00:00:00.000`0.0`0.75`0`0`
779142`TM`2024-04-10 00:00:00.000`0.0`3.8700000000000001`0`0`
779142`NJW`2024-04-10 00:00:00.000`0.0`0.5`0`0`
779142`JT`2024-04-10 00:00:00.000`0.0`5.5`0`0`
779142`AH`2024-04-01 00:00:00.000`0.0`0.5`0`0`
779142`JT`2024-04-11 00:00:00.000`0.0`6.25`0`0`
779142`CF`2024-04-11 00:00:00.000`0.0`0.29999999999999999`0`0`
779142`MB`2024-04-08 00:00:00.000`0.0`1.5`0`0`
779142`TM`2024-04-09 00:00:00.000`0.0`0.88`0`0`
779142`JT`2024-04-09 00:00:00.000`0.0`6.9500000000000002`0`0`
779142`NR`2024-04-09 00:00:00.000`0.0`0.66000000000000003`0`0`
779142`NJW`2024-04-09 00:00:00.000`0.0`0.75`0`0`
779142`JT`2024-04-16 00:00:00.000`0.0`6.9699999999999998`0`0`
779142`CF`2024-04-16 00:00:00.000`0.0`0.16`0`0`
779142`NR`2024-04-16 00:00:00.000`0.0`1.0`0`0`
779142`EH`2024-04-16 00:00:00.000`0.0`0.5`0`0`
779142`CF`2024-04-01 00:00:00.000`0.0`0.16`0`0`
779142`JT`2024-04-01 00:00:00.000`0.0`4.1600000000000001`0`0`
779142`JT`2024-04-04 00:00:00.000`0.0`6.8799999999999999`0`0`
779142`KJF`2024-04-11 00:00:00.000`0.0`0.22`0`0`
779142`JZ`2024-04-11 00:00:00.000`0.0`0.16`0`0`
779142`TM`2024-04-02 00:00:00.000`0.0`1.0`0`0`
779142`JT`2024-04-02 00:00:00.000`0.0`6.6200000000000001`0`0`
779142`JT`2024-04-05 00:00:00.000`0.0`6.6299999999999999`0`0`
779142`JPK`2024-04-05 00:00:00.000`0.0`1.25`0`0`
779142`TM`2024-04-02 00:00:00.000`0.0`0.33000000000000002`0`0`
779142`TM`2024-04-03 00:00:00.000`0.0`2.0`0`0`
779142`JT`2024-04-03 00:00:00.000`0.0`6.6799999999999997`0`0`
779142`JPK`2024-04-09 00:00:00.000`0.0`1.0`0`0`
779142`AH`2024-04-09 00:00:00.000`0.0`1.0`0`0`
779142`TM`2024-04-09 00:00:00.000`0.0`2.5`0`0`
779142`MB`2024-04-11 00:00:00.000`0.0`0.5`0`0`
779142`AE`2024-04-11 00:00:00.000`0.0`0.5`1`0`
779142`JZ`2024-04-08 00:00:00.000`0.0`0.25`0`0`
779142`CF`2024-04-08 00:00:00.000`0.0`0.25`0`0`
779142`JT`2024-04-08 00:00:00.000`0.0`6.2199999999999998`0`0`
779142`MB`2024-04-08 00:00:00.000`0.0`0.75`0`0`
779142`AB`2024-04-08 00:00:00.000`0.0`0.5`0`0`
779142`ITA`2024-04-08 00:00:00.000`0.0`0.14999999999999999`0`0`
779142`CHK`2024-04-08 00:00:00.000`0.0`0.5`0`0`
779142`JT`2024-04-12 00:00:00.000`0.0`6.9800000000000004`0`0`
779142`CF`2024-04-12 00:00:00.000`0.0`0.33000000000000002`0`0`
779142`BS`2024-04-12 00:00:00.000`0.0`3.0`0`0`
779142`JPK`2024-04-12 00:00:00.000`0.0`1.0`0`0`
779142`JT`2024-04-15 00:00:00.000`0.0`2.9500000000000002`0`0`
779142`TM`2024-04-15 00:00:00.000`0.0`0.77000000000000002`0`0`
779142`JT`2024-04-15 00:00:00.000`0.0`6.9800000000000004`0`0`
779141`ITA`2024-04-01 00:00:00.000`0.0`0.63`0`0`
779141`JZ`2024-04-01 00:00:00.000`0.0`0.59999999999999998`0`0`
779141`KJF`2024-04-10 00:00:00.000`0.0`1.6200000000000001`0`0`
779141`JPK`2024-04-10 00:00:00.000`0.0`2.0`0`0`
779141`JZ`2024-04-11 00:00:00.000`0.0`0.29999999999999999`0`0`
779141`TJ`2024-04-08 00:00:00.000`0.0`1.5`0`0`
779141`DT`2024-04-08 00:00:00.000`0.0`1.0`0`0`
779141`AB`2024-04-09 00:00:00.000`0.0`0.5`0`0`
779141`CF`2024-04-16 00:00:00.000`0.0`0.33000000000000002`0`0`
779141`NJW`2024-04-16 00:00:00.000`0.0`0.90000000000000002`0`0`
779141`TM`2024-04-16 00:00:00.000`0.0`2.1000000000000001`0`0`
779141`CA`2024-04-16 00:00:00.000`0.0`5.0`0`0`
779141`TJ`2024-04-17 00:00:00.000`0.0`0.25`0`0`
779141`TJ`2024-04-17 00:00:00.000`0.0`0.0`0`0`
779141`TM`2024-04-17 00:00:00.000`0.0`0.0`0`0`
779141`TJ`2024-04-15 00:00:00.000`0.0`1.53`0`0`
779141`TM`2024-04-15 00:00:00.000`0.0`1.1299999999999999`0`0`
779141`AB`2024-04-15 00:00:00.000`0.0`0.25`0`0`
779141`JPK`2024-04-15 00:00:00.000`0.0`4.0`0`0`
779141`TJ`2024-04-16 00:00:00.000`0.0`7.3499999999999996`0`0`
779141`JZ`2024-04-03 00:00:00.000`0.0`0.55000000000000004`0`0`
779141`NJW`2024-04-03 00:00:00.000`0.0`1.75`0`0`
779141`JZ`2024-04-04 00:00:00.000`0.0`2.4199999999999999`0`0`
779141`JT`2024-04-04 00:00:00.000`0.0`0.33000000000000002`0`0`
779141`AB`2024-04-04 00:00:00.000`0.0`0.5`0`0`
779141`NJW`2024-04-04 00:00:00.000`0.0`1.0`0`0`
779141`TM`2024-04-04 00:00:00.000`0.0`4.3700000000000001`0`0`
779141`NJW`2024-04-10 00:00:00.000`0.0`1.25`0`0`
779141`ITA`2024-04-10 00:00:00.000`0.0`1.3`0`0`
779141`TM`2024-04-02 00:00:00.000`0.0`0.37`0`0`
779141`CA`2024-04-02 00:00:00.000`0.0`26.43`0`0`
779141`CA`2024-04-04 00:00:00.000`0.0`5.0`0`0`
779141`JRL`2024-04-04 00:00:00.000`0.0`1.5`0`0`
779141`AB`2024-04-05 00:00:00.000`0.0`0.5`0`0`
779141`AH`2024-04-02 00:00:00.000`0.0`1.25`0`0`
779141`JPK`2024-04-02 00:00:00.000`0.0`1.0`0`0`
779141`NJW`2024-04-11 00:00:00.000`0.0`0.75`0`0`
779141`JPK`2024-04-06 00:00:00.000`0.0`0.5`0`0`
779141`JZ`2024-04-09 00:00:00.000`0.0`0.65000000000000002`0`0`
779141`TM`2024-04-08 00:00:00.000`0.0`6.5499999999999998`0`0`
779141`JPK`2024-04-11 00:00:00.000`0.0`4.0`0`0`
779141`JPK`2024-04-11 00:00:00.000`0.0`1.5`0`0`
779141`JT`2024-04-11 00:00:00.000`0.0`0.33000000000000002`0`0`
779141`JT`2024-04-08 00:00:00.000`0.0`0.40999999999999998`0`0`
779141`TM`2024-04-12 00:00:00.000`0.0`1.3`0`0`
779141`KJF`2024-04-12 00:00:00.000`0.0`3.9500000000000002`0`0`
779141`NJW`2024-04-12 00:00:00.000`0.0`4.5`0`0`
779141`JPK`2024-04-12 00:00:00.000`0.0`1.0`0`0`
779141`AB`2024-04-12 00:00:00.000`0.0`0.5`0`0`
779141`JZ`2024-04-08 00:00:00.000`0.0`1.1200000000000001`0`0`
779141`JZ`2024-04-12 00:00:00.000`0.0`1.3300000000000001`0`0`
779141`CF`2024-04-12 00:00:00.000`0.0`0.67000000000000004`0`0`
779141`TM`2024-04-12 00:00:00.000`0.0`1.5`0`0`
779141`CF`2024-04-12 00:00:00.000`0.0`0.88`0`0`
779141`JPK`2024-04-12 00:00:00.000`0.0`2.0`0`0`
779141`JZ`2024-04-15 00:00:00.000`0.0`0.13`0`0`
779140`JLA`2024-04-09 00:00:00.000`0.0`1.28`0`0`
779140`JLA`2024-04-02 00:00:00.000`0.0`8.5700000000000003`0`0`
779140`JLA`2024-04-04 00:00:00.000`0.0`0.67000000000000004`0`0`
779140`JLA`2024-04-05 00:00:00.000`0.0`1.0`0`0`
779140`JLA`2024-04-11 00:00:00.000`0.0`0.75`0`0`
779140`JZ`2024-04-08 00:00:00.000`0.0`0.25`0`0`
779139`JPK`2024-04-16 00:00:00.000`0.0`3.0`0`0`
779138`KJF`2024-04-15 00:00:00.000`0.0`5.0700000000000003`0`0`
779138`NV`2024-04-01 00:00:00.000`0.0`1.5`0`0`
779138`KJF`2024-04-11 00:00:00.000`0.0`2.0699999999999998`0`0`
779138`KJF`2024-04-12 00:00:00.000`0.0`1.27`0`0`
779130`JLA`2024-04-15 00:00:00.000`0.0`0.27000000000000002`2`0`
779129`NJW`2024-04-15 00:00:00.000`0.0`1.8`2`0`
779128`CA`2024-04-09 00:00:00.000`0.0`0.5`0`0`
779128`CA`2024-04-12 00:00:00.000`0.0`8.9299999999999997`0`0`
779128`CA`2024-04-15 00:00:00.000`0.0`4.29`2`0`
779127`NR`2024-04-09 00:00:00.000`0.0`0.90000000000000002`2`0`
779126`JZ`2024-04-09 00:00:00.000`0.0`0.10000000000000001`2`0`
779125`EU`2024-04-08 00:00:00.000`0.0`1.75`2`0`
779124`MB`2024-04-05 00:00:00.000`0.0`1.75`2`0`
779123`JRL`2024-04-03 00:00:00.000`0.0`0.27000000000000002`2`0`
779104`JRL`2024-04-15 00:00:00.000`0.0`0.27000000000000002`2`0`
779085`GV`2024-04-16 00:00:00.000`0.0`4.25`12`0`
779084`JRL`2024-04-05 00:00:00.000`0.0`1.3999999999999999`12`0`
779083`DJH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`4`0`
779082`DT`2024-04-12 00:00:00.000`0.0`0.14999999999999999`4`0`
779081`DT`2024-04-12 00:00:00.000`0.0`0.31`4`0`
779080`EU`2024-04-09 00:00:00.000`0.0`1.0`4`0`
779079`NR`2024-04-08 00:00:00.000`0.0`0.75`4`0`
779078`ZN`2024-04-05 00:00:00.000`0.0`1.73`4`0`
779077`JRL`2024-04-03 00:00:00.000`0.0`0.40000000000000002`4`0`
779051`KJF`2024-04-16 00:00:00.000`0.0`0.71999999999999997`3`0`
779050`JT`2024-04-15 00:00:00.000`0.0`2.75`3`0`
779050`JT`2024-04-12 00:00:00.000`0.0`2.2999999999999998`0`0`
779049`KJF`2024-04-11 00:00:00.000`0.0`1.1799999999999999`0`0`
779049`KJF`2024-04-11 00:00:00.000`0.0`0.57999999999999996`3`0`
779048`JT`2024-04-10 00:00:00.000`0.0`1.5900000000000001`3`0`
779048`JT`2024-04-11 00:00:00.000`0.0`0.29999999999999999`0`0`
779047`AMH`2024-04-01 00:00:00.000`0.0`0.10000000000000001`3`0`
779046`NR`2024-04-08 00:00:00.000`0.0`1.03`3`0`
779045`GV`2024-04-06 00:00:00.000`0.0`3.25`3`0`
779044`JRL`2024-04-05 00:00:00.000`0.0`0.5`3`0`
779042`JZ`2024-04-15 00:00:00.000`0.0`0.10000000000000001`10`0`
779041`NJW`2024-04-15 00:00:00.000`0.0`2.8300000000000001`10`0`
779040`NV`2024-04-08 00:00:00.000`0.0`2.5`0`0`
779040`NV`2024-04-09 00:00:00.000`0.0`2.5`10`0`
779039`JRL`2024-04-05 00:00:00.000`0.0`3.5`10`0`
779037`TM`2024-04-16 00:00:00.000`0.0`0.23000000000000001`0`0`
779037`JZ`2024-04-12 00:00:00.000`0.0`0.22`12`0`
779036`JZ`2024-04-12 00:00:00.000`0.0`0.47999999999999998`12`0`
779035`JRL`2024-04-11 00:00:00.000`0.0`2.0`12`0`
779034`NR`2024-04-11 00:00:00.000`0.0`3.52`12`0`
779033`MGK`2024-04-09 00:00:00.000`0.0`5.3200000000000003`12`0`
779033`MGK`2024-04-08 00:00:00.000`0.0`6.5199999999999996`0`0`
779032`ZN`2024-04-04 00:00:00.000`0.0`1.3`0`0`
779032`ZN`2024-04-05 00:00:00.000`0.0`1.8500000000000001`12`0`
779031`JRL`2024-04-02 00:00:00.000`0.0`1.75`12`0`
779030`TM`2024-04-02 00:00:00.000`0.0`8.0000000000000002E-2`12`0`
779028`DT`2024-04-15 00:00:00.000`0.0`0.14999999999999999`2`0`
779027`NR`2024-04-12 00:00:00.000`0.0`1.0700000000000001`2`0`
779026`DT`2024-04-08 00:00:00.000`0.0`0.17999999999999999`2`0`
779025`EU`2024-04-05 00:00:00.000`0.0`0.57999999999999996`2`0`
779024`AB`2024-04-04 00:00:00.000`0.0`8.8800000000000008`2`0`
779023`JRL`2024-04-03 00:00:00.000`0.0`0.33000000000000002`2`0`
779022`MGK`2024-04-01 00:00:00.000`0.0`8.0000000000000002E-2`2`0`
779012`ITA`2024-04-16 00:00:00.000`0.0`2.5`10`0`
779011`JRL`2024-04-04 00:00:00.000`0.0`0.54000000000000004`10`0`
779009`JLA`2024-04-15 00:00:00.000`0.0`0.0`1`0`
779008`JZ`2024-04-12 00:00:00.000`0.0`5.0000000000000003E-2`1`0`
779007`JZ`2024-04-12 00:00:00.000`0.0`0.17000000000000001`1`0`
779006`EU`2024-04-11 00:00:00.000`0.0`3.5`1`0`
779005`CF`2024-04-09 00:00:00.000`0.0`3.4199999999999999`1`0`
779004`CHK`2024-04-04 00:00:00.000`0.0`1.75`0`0`
779004`CHK`2024-04-08 00:00:00.000`0.0`1.75`1`0`
779003`AMH`2024-04-03 00:00:00.000`0.0`0.29999999999999999`1`0`
779002`JLA`2024-04-15 00:00:00.000`0.0`0.25`1`0`
779001`JZ`2024-04-15 00:00:00.000`0.0`0.13`1`0`
779000`JZ`2024-04-15 00:00:00.000`0.0`0.17999999999999999`1`0`
778999`EU`2024-04-15 00:00:00.000`0.0`1.1599999999999999`1`0`
778998`JPK`2024-04-11 00:00:00.000`0.0`0.5`0`0`
778998`JPK`2024-04-12 00:00:00.000`0.0`1.5`1`0`
778997`NV`2024-04-11 00:00:00.000`0.0`1.5`1`0`
778996`NV`2024-04-10 00:00:00.000`0.0`2.0`1`0`
778995`NV`2024-04-09 00:00:00.000`0.0`0.0`0`0`
778995`NV`2024-04-10 00:00:00.000`0.0`2.25`1`0`
778994`TJ`2024-04-04 00:00:00.000`0.0`0.75`1`0`
778993`NV`2024-04-03 00:00:00.000`0.0`3.0`1`0`
778992`JRL`2024-04-01 00:00:00.000`0.0`0.17000000000000001`1`0`
778991`AMH`2024-04-17 00:00:00.000`0.0`0.20000000000000001`1`0`
778989`JZ`2024-04-15 00:00:00.000`0.0`0.13`1`0`
778988`JZ`2024-04-15 00:00:00.000`0.0`0.17999999999999999`1`0`
778987`EU`2024-04-15 00:00:00.000`0.0`1.1599999999999999`1`0`
778986`JPK`2024-04-11 00:00:00.000`0.0`0.5`0`0`
778986`JPK`2024-04-12 00:00:00.000`0.0`1.5`1`0`
778985`NV`2024-04-11 00:00:00.000`0.0`1.25`1`0`
778984`NV`2024-04-10 00:00:00.000`0.0`1.5`1`0`
778983`TJ`2024-04-04 00:00:00.000`0.0`0.75`1`0`
778982`NV`2024-04-03 00:00:00.000`0.0`1.5`1`0`
778981`JRL`2024-04-01 00:00:00.000`0.0`0.27000000000000002`1`0`
778980`JLA`2024-04-15 00:00:00.000`0.0`0.0`1`0`
778979`CF`2024-04-12 00:00:00.000`0.0`1.5`1`0`
778978`CF`2024-04-11 00:00:00.000`0.0`0.42999999999999999`0`0`
778978`CF`2024-04-12 00:00:00.000`0.0`3.23`1`0`
778977`JZ`2024-04-11 00:00:00.000`0.0`5.0000000000000003E-2`1`0`
778976`JZ`2024-04-11 00:00:00.000`0.0`0.34999999999999998`1`0`
778975`EU`2024-04-11 00:00:00.000`0.0`4.5`1`0`
778974`CHK`2024-04-04 00:00:00.000`0.0`1.25`0`0`
778974`CHK`2024-04-05 00:00:00.000`0.0`2.75`1`0`
778973`AMH`2024-04-03 00:00:00.000`0.0`0.29999999999999999`1`0`
778970`JZ`2024-04-15 00:00:00.000`0.0`0.5`2`0`
778969`EU`2024-04-12 00:00:00.000`0.0`6.0`2`0`
778968`CF`2024-04-09 00:00:00.000`0.0`2.6000000000000001`0`0`
778968`CF`2024-04-09 00:00:00.000`0.0`1.02`0`0`
778968`CF`2024-04-10 00:00:00.000`0.0`2.25`2`0`
778967`CHK`2024-04-04 00:00:00.000`0.0`2.5`0`0`
778967`CHK`2024-04-05 00:00:00.000`0.0`2.75`2`0`
778966`AMH`2024-04-03 00:00:00.000`0.0`0.29999999999999999`2`0`
778965`DJH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`1`0`
778964`GV`2024-04-15 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778963`CA`2024-04-11 00:00:00.000`0.0`6.0`0`0`
778963`CA`2024-04-12 00:00:00.000`0.0`7.5`1`0`
778962`JZ`2024-04-10 00:00:00.000`0.0`5.0000000000000003E-2`1`0`
778961`JPK`2024-04-10 00:00:00.000`0.0`1.0`1`0`
778960`AE`2024-04-09 00:00:00.000`0.0`1.5`1`0`
778960`AE`2024-04-05 00:00:00.000`0.0`1.0`0`0`
778959`BS`2024-04-05 00:00:00.000`0.0`2.0`1`0`
778958`JRL`2024-04-01 00:00:00.000`0.0`0.33000000000000002`1`0`
778938`EU`2024-04-11 00:00:00.000`0.0`1.4099999999999999`1`0`
778937`KJR`2024-04-03 00:00:00.000`0.0`1.1200000000000001`0`0`
778937`KJR`2024-04-04 00:00:00.000`0.0`4.5`1`0`
778936`AMH`2024-04-03 00:00:00.000`0.0`0.29999999999999999`1`0`
778933`JZ`2024-04-12 00:00:00.000`0.0`0.14999999999999999`1`0`
778932`NJW`2024-04-15 00:00:00.000`0.0`0.75`1`0`
778931`CH`2024-04-15 00:00:00.000`0.0`0.75`1`0`
778930`TM`2024-03-29 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778871`EU`2024-04-16 00:00:00.000`0.0`0.66000000000000003`1`0`
778870`ITA`2024-04-15 00:00:00.000`0.0`1.3`1`0`
778869`JRL`2024-04-11 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
778866`DT`2024-04-16 00:00:00.000`0.0`0.11`1`0`
778865`DT`2024-04-16 00:00:00.000`0.0`0.11`1`0`
778864`EU`2024-04-12 00:00:00.000`0.0`1.0`1`0`
778863`CF`2024-04-11 00:00:00.000`0.0`1.2`1`0`
778862`MB`2024-04-09 00:00:00.000`0.0`3.0`1`0`
778861`JRL`2024-04-08 00:00:00.000`0.0`0.23000000000000001`1`0`
778857`MGK`2024-04-15 00:00:00.000`0.0`0.87`2`0`
778856`DT`2024-04-12 00:00:00.000`0.0`0.14999999999999999`2`0`
778855`DT`2024-04-12 00:00:00.000`0.0`0.17000000000000001`2`0`
778854`EU`2024-04-12 00:00:00.000`0.0`1.4099999999999999`2`0`
778853`MB`2024-04-08 00:00:00.000`0.0`1.0`0`0`
778853`MB`2024-04-09 00:00:00.000`0.0`3.0`2`0`
778852`JRL`2024-04-03 00:00:00.000`0.0`0.40000000000000002`2`0`
778847`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`2`0`
778845`JZ`2024-04-09 00:00:00.000`0.0`7.0000000000000007E-2`2`0`
778844`JZ`2024-04-09 00:00:00.000`0.0`8.0000000000000002E-2`2`0`
778843`TJ`2024-04-09 00:00:00.000`0.0`1.3999999999999999`2`0`
778842`NJW`2024-04-04 00:00:00.000`0.0`2.4500000000000002`2`0`
778841`AB`2024-04-03 00:00:00.000`0.0`3.0`2`0`
778840`JRL`2024-04-02 00:00:00.000`0.0`0.20000000000000001`2`0`
778834`DJH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`3`0`
778833`DT`2024-04-16 00:00:00.000`0.0`0.46000000000000002`3`0`
778832`TJ`2024-04-12 00:00:00.000`0.0`1.6499999999999999`3`0`
778831`CH`2024-04-10 00:00:00.000`0.0`0.25`3`0`
778830`TM`2024-04-08 00:00:00.000`0.0`8.0000000000000002E-2`3`0`
778829`ZN`2024-04-05 00:00:00.000`0.0`2.0699999999999998`3`0`
778828`AMH`2024-04-01 00:00:00.000`0.0`0.20000000000000001`3`0`
778827`JRL`2024-04-04 00:00:00.000`0.0`0.38`3`0`
778823`JPK`2024-04-16 00:00:00.000`0.0`3.0`0`0`
778822`MGK`2024-04-10 00:00:00.000`0.0`2.0699999999999998`3`0`
778821`ITA`2024-04-09 00:00:00.000`0.0`1.78`3`0`
778820`JRL`2024-04-08 00:00:00.000`0.0`0.25`3`0`
778819`EU`2024-04-05 00:00:00.000`0.0`8.0000000000000002E-2`2`0`
778818`KJF`2024-04-05 00:00:00.000`0.0`1.47`2`0`
778794`DJH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`6`0`
778793`DT`2024-04-12 00:00:00.000`0.0`0.13`5`0`
778792`DT`2024-04-12 00:00:00.000`0.0`0.44`5`0`
778791`EU`2024-04-11 00:00:00.000`0.0`4.0`5`0`
778790`NR`2024-04-08 00:00:00.000`0.0`1.1000000000000001`6`0`
778789`AB`2024-04-05 00:00:00.000`0.0`2.3300000000000001`0`0`
778789`AB`2024-04-08 00:00:00.000`0.0`2.75`6`0`
778788`JRL`2024-03-28 00:00:00.000`0.0`0.45000000000000001`6`0`
778780`JRL`2024-04-11 00:00:00.000`0.0`0.82999999999999996`10`0`
778775`TM`2024-04-15 00:00:00.000`0.0`4.8799999999999999`10`0`
778774`ZN`2024-04-11 00:00:00.000`0.0`0.29999999999999999`10`0`
778759`DT`2024-04-16 00:00:00.000`0.0`0.12`1`0`
778758`NR`2024-04-15 00:00:00.000`0.0`0.40999999999999998`1`0`
778757`DT`2024-04-15 00:00:00.000`0.0`0.13`1`0`
778756`EU`2024-04-15 00:00:00.000`0.0`0.75`1`0`
778755`JPK`2024-04-10 00:00:00.000`0.0`0.75`1`0`
778754`CKR`2024-04-05 00:00:00.000`0.0`1.0`1`0`
778753`JRL`2024-04-04 00:00:00.000`0.0`0.20000000000000001`1`0`
778747`DT`2024-04-15 00:00:00.000`0.0`0.12`1`0`
778746`DT`2024-04-15 00:00:00.000`0.0`0.13`1`0`
778745`EU`2024-04-15 00:00:00.000`0.0`0.81000000000000005`1`0`
778744`CKR`2024-04-08 00:00:00.000`0.0`2.3300000000000001`1`0`
778743`JRL`2024-04-04 00:00:00.000`0.0`0.20000000000000001`1`0`
778739`DT`2024-04-16 00:00:00.000`0.0`0.12`1`0`
778738`NR`2024-04-15 00:00:00.000`0.0`0.63`1`0`
778737`DT`2024-04-15 00:00:00.000`0.0`0.13`1`0`
778736`EU`2024-04-15 00:00:00.000`0.0`1.3300000000000001`1`0`
778735`JPK`2024-04-10 00:00:00.000`0.0`0.75`1`0`
778734`CKR`2024-04-05 00:00:00.000`0.0`0.69999999999999996`0`0`
778734`CKR`2024-04-08 00:00:00.000`0.0`1.0`1`0`
778733`JRL`2024-04-04 00:00:00.000`0.0`0.20000000000000001`1`0`
778722`NR`2024-04-05 00:00:00.000`0.0`8.0000000000000002E-2`4`0`
778700`AE`2024-04-16 00:00:00.000`0.0`0.90000000000000002`1`0`
778699`CH`2024-04-10 00:00:00.000`0.0`0.5`1`0`
778698`JZ`2024-04-03 00:00:00.000`0.0`0.12`1`0`
778697`EU`2024-04-03 00:00:00.000`0.0`1.6599999999999999`1`0`
778696`EH`2024-04-02 00:00:00.000`0.0`4.5800000000000001`1`0`
778695`JRL`2024-04-01 00:00:00.000`0.0`0.17000000000000001`1`0`
778676`JZ`2024-04-16 00:00:00.000`0.0`2.9999999999999999E-2`1`0`
778675`EU`2024-04-12 00:00:00.000`0.0`0.33000000000000002`1`0`
778674`CKR`2024-04-11 00:00:00.000`0.0`1.0`1`0`
778673`JRL`2024-04-08 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
