780054`JPK`2024-04-15 00:00:00.000`0.0`0.5`0`0`
780053`CKR`2024-04-15 00:00:00.000`0.0`1.5`2`0`
780052`JRL`2024-04-11 00:00:00.000`0.0`0.20000000000000001`2`0`
780045`ITA`2024-04-15 00:00:00.000`0.0`0.93000000000000005`1`0`
780044`JRL`2024-04-11 00:00:00.000`0.0`8.9999999999999997E-2`1`0`
780032`MGK`2024-04-15 00:00:00.000`0.0`2.2000000000000002`10`0`
780031`AB`2024-04-12 00:00:00.000`0.0`4.2800000000000002`0`0`
780031`AB`2024-04-15 00:00:00.000`0.0`2.9300000000000002`10`0`
780030`JRL`2024-04-11 00:00:00.000`0.0`0.5`10`0`
780021`NJW`2024-04-16 00:00:00.000`0.0`0.52000000000000002`1`0`
780020`CKR`2024-04-10 00:00:00.000`0.0`1.5`1`0`
780019`JRL`2024-04-09 00:00:00.000`0.0`0.17000000000000001`1`0`
780014`MB`2024-04-16 00:00:00.000`0.0`4.0`12`0`
780014`MB`2024-04-15 00:00:00.000`0.0`4.5`0`0`
780014`MB`2024-04-12 00:00:00.000`0.0`2.0`0`0`
780013`JRL`2024-04-09 00:00:00.000`0.0`0.80000000000000004`12`0`
780010`MB`2024-04-15 00:00:00.000`0.0`2.0`3`0`
780010`MB`2024-04-12 00:00:00.000`0.0`1.5`0`0`
780009`JRL`2024-04-09 00:00:00.000`0.0`0.20000000000000001`3`0`
780008`TM`2024-04-15 00:00:00.000`0.0`0.63`3`0`
779997`TM`2024-04-15 00:00:00.000`0.0`4.1299999999999999`3`0`
779996`ZN`2024-04-05 00:00:00.000`0.0`0.22`3`0`
779963`KJR`2024-04-16 00:00:00.000`0.0`2.5`3`0`
779962`JRL`2024-04-08 00:00:00.000`0.0`0.5`3`0`
779930`BS`2024-04-16 00:00:00.000`0.0`6.0`0`0`
779930`BS`2024-04-15 00:00:00.000`0.0`6.0`0`0`
779930`BS`2024-04-12 00:00:00.000`0.0`1.5`0`0`
779929`MGK`2024-04-05 00:00:00.000`0.0`8.0000000000000002E-2`20`0`
779909`EU`2024-04-17 00:00:00.000`0.0`0.57999999999999996`8`0`
779908`JLA`2024-04-15 00:00:00.000`0.0`1.28`8`0`
779907`ZN`2024-04-11 00:00:00.000`0.0`0.56999999999999995`0`0`
779907`ZN`2024-04-12 00:00:00.000`0.0`1.3300000000000001`8`0`
779906`JRL`2024-04-09 00:00:00.000`0.0`0.67000000000000004`8`0`
779900`CF`2024-04-16 00:00:00.000`0.0`2.5`0`0`
779900`CF`2024-04-17 00:00:00.000`0.0`0.0`0`0`
779899`ITA`2024-04-15 00:00:00.000`0.0`4.8899999999999997`18`0`
779898`JRL`2024-04-10 00:00:00.000`0.0`0.59999999999999998`18`0`
779871`CF`2024-04-16 00:00:00.000`0.0`1.25`3`0`
779870`ZN`2024-04-15 00:00:00.000`0.0`3.2000000000000002`3`0`
779869`JRL`2024-04-10 00:00:00.000`0.0`0.56000000000000005`3`0`
779863`MB`2024-04-16 00:00:00.000`0.0`2.5`0`0`
779862`JRL`2024-04-10 00:00:00.000`0.0`0.42999999999999999`3`0`
779844`NJW`2024-04-16 00:00:00.000`0.0`1.0`1`0`
779843`ZN`2024-04-15 00:00:00.000`0.0`1.47`1`0`
779842`JRL`2024-04-15 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
779842`JRL`2024-04-10 00:00:00.000`0.0`0.20000000000000001`1`0`
779824`JRL`2024-04-09 00:00:00.000`0.0`0.37`1`0`
779819`DT`2024-04-17 00:00:00.000`0.0`1.0`4`0`
779818`AH`2024-04-15 00:00:00.000`0.0`2.2999999999999998`4`0`
779817`CKR`2024-04-12 00:00:00.000`0.0`2.25`4`0`
779816`JRL`2024-04-09 00:00:00.000`0.0`0.67000000000000004`4`0`
779786`AB`2024-04-17 00:00:00.000`0.0`0.0`0`0`
779785`JRL`2024-04-10 00:00:00.000`0.0`1.0`10`0`
779758`AMH`2024-04-09 00:00:00.000`0.0`0.29999999999999999`1`0`
779755`NJW`2024-04-16 00:00:00.000`0.0`1.03`1`0`
779754`AB`2024-04-12 00:00:00.000`0.0`2.0`1`0`
779753`JRL`2024-04-09 00:00:00.000`0.0`5.9999999999999998E-2`1`0`
