LVL-7-KADEN`NULL`2021-09-15 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
LBR2024-03`NULL`2024-02-27 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
134045`GATES`2024-03-18 00:00:00.000`C.07143.422.30.00`Active`NULL`8MX-35S-21`1`0`0`1`6`0`0`1846075`1`NULL`NULL`1 ITEM  `NULL`NULL
133954`GSI INC`2024-03-11 00:00:00.000`20T, INTERNAL SPLINE HUB`Complete`NULL`CUT TEETH ONLY`1`0`0`1`0`1`1`24007-030524`1`2024-03-18 00:00:00.000`2024-03-14 00:00:00.000`1 OF 2 ITEMS  - RETURN SAMPLE AND RED TUB  BRENT`2024-03-13 00:00:00.000`NULL
133952`EMS`2024-03-11 00:00:00.000`IDLER PULLEY - 6.5" X 4.25" LG`Active`1`ALUMINUM, API GENERAC`15`0`0`15`2`0`0`R00310102`1`2024-04-19 00:00:00.000`2024-03-19 00:00:00.000`1 OF 2 ITEMS - JAMIE`2024-03-12 00:00:00.000`NULL
133940`PSA - CUYA`2024-03-11 00:00:00.000`1433854`Active`2`32T, 4 MOD. SPUR GEAR`1`0`0`1`3`0`0`P635700`1`2024-04-11 00:00:00.000`2024-03-27 00:00:00.000`1 ITEM   BRENT`2024-03-11 00:00:00.000`NULL
133938-1`PCMC`2024-03-11 00:00:00.000`30101815`Active`-`P72-T5-50 PULLEY`10`0`0`10`5`0`0`P732808`2`2024-03-27 00:00:00.000`2024-03-14 00:00:00.000` 121614-1 Greg V`NULL`NULL
133936`BW - HUNT`2024-03-08 00:00:00.000`257295`Active`A`55T, 6DP IDLER GEAR`1`0`0`1`3`0`0`P428234`1`2024-03-22 00:00:00.000`2024-03-11 00:00:00.000`1 ITEM Greg V`2024-03-11 00:00:00.000`4664
133927`VALMET-GB`2024-03-08 00:00:00.000`355139`Active`NULL`P64-8M, PAINTED`1`0`0`1`9`0`0`4201159050`1`2024-04-04 00:00:00.000`2024-03-14 00:00:00.000`1 OF 3 ITEMS - SEPARATE SHIP DATES - SHIPS LAST WITH JOB#133928 Greg V`2024-03-12 00:00:00.000`NULL
133924`QUAL-CONN`2024-03-08 00:00:00.000`1266271`Active`1`14T GEAR SHAFT`20`0`0`20`10`0`0`23641`1`2024-04-15 00:00:00.000`2024-03-18 00:00:00.000`1 ITEM   BRENT`2024-03-11 00:00:00.000`NULL
133915`ISTHMUS`2024-03-07 00:00:00.000`7723-02-471`Active`NULL`32T, 8DP PINION`1`0`0`1`10`0`0`119529`1`2024-04-11 00:00:00.000`2024-03-12 00:00:00.000`1 ITEM  BRENT`2024-03-08 00:00:00.000`NULL
133912`BAYSEK`2024-03-07 00:00:00.000`4500-196`Active`B`D16B25 X 70MM, STEEL`6`0`0`6`3`0`0`0025525`2`2024-04-15 00:00:00.000`2024-03-14 00:00:00.000`1 OF 3 ITEMS - JAMIE`2024-03-07 00:00:00.000`NULL
133910`KIM NEENAH`2024-03-07 00:00:00.000`C529-M-08939-D-02`Active`NULL`104T, 8DP KNIFE ROLL GEAR`1`0`0`1`4`0`0`17942191`3`2024-04-16 00:00:00.000`2024-03-12 00:00:00.000`1 OF 3 ITEMS Caleb H`2024-03-08 00:00:00.000`NULL
