LVL-7-KADEN`NULL`2021-09-15 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
LBR2024-03`NULL`2024-02-27 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
134045`GATES`2024-03-18 00:00:00.000`C.07143.422.30.00`Active`NULL`8MX-35S-21`1`0`0`1`6`0`0`1846075`1`NULL`NULL`1 ITEM  `NULL`NULL
133687`PSA - CUYA`2024-02-26 00:00:00.000`1445499`Active`0`20T, 1 PITCH SPROCKET`2`0`0`2`5`0`0`P634520`5`2024-03-28 00:00:00.000`2024-03-12 00:00:00.000`1 OF 13 ITEMS   BRENT`2024-02-29 00:00:00.000`NULL
133685`PSA - CUYA`2024-02-26 00:00:00.000`1433749`Active`1`D60C18 X 45 MM`2`0`0`2`4`0`0`P634520`3`2024-03-28 00:00:00.000`2024-03-06 00:00:00.000`1 OF 13 ITEMS   BRENT`2024-02-29 00:00:00.000`NULL
133684`PSA - CUYA`2024-02-26 00:00:00.000`1444161`Active`0`40A20 S.S. SPROCKET`6`0`0`6`5`0`0`P634520`2`2024-03-28 00:00:00.000`2024-03-12 00:00:00.000`1 OF 13 ITEMS   BRENT`2024-02-29 00:00:00.000`NULL
133681`MO-LOUISVI`2024-02-26 00:00:00.000`24T, 2 MOD L.H. HELICAL GEAR`Active`-`NYLATRON NSM MATERIAL`30`10`0`40`3`0`0`KY58-00330466`1`2024-03-26 00:00:00.000`2024-03-08 00:00:00.000`1 ITEM  Caleb H`2024-02-27 00:00:00.000`NULL
133677`PSA - ONTA`2024-02-26 00:00:00.000`2316-AH`Complete`C`60T, 10 DP WORM GEAR`1`0`0`1`0`1`1`P634572`5`2024-03-18 00:00:00.000`2024-03-11 00:00:00.000`1 OF 5 ITEMS  BRENT`2024-02-27 00:00:00.000`NULL
133676`PSA - ONTA`2024-02-26 00:00:00.000`98L624`Complete`0`40A16 X 1.375`3`0`0`3`0`3`3`P634572`4`2024-03-18 00:00:00.000`2024-03-04 00:00:00.000`1 OF 5 ITEMS  BRENT`2024-02-27 00:00:00.000`NULL
133675`PSA - ONTA`2024-02-26 00:00:00.000`38L624`Complete`B`D60A15 X 1.1245"`1`0`0`1`0`1`1`P634572`3`2024-03-18 00:00:00.000`2024-03-04 00:00:00.000`1 OF 5 ITEMS  BRENT`2024-02-27 00:00:00.000`NULL
133674`PSA - ONTA`2024-02-26 00:00:00.000`8L830`Complete`K`AL30H100 x 1.0" - ALUMINUM`3`0`0`3`0`3`3`P634572`2`2024-03-18 00:00:00.000`2024-03-01 00:00:00.000`1 OF 5 ITEMS  BRENT`2024-02-27 00:00:00.000`NULL
133673`PSA - ONTA`2024-02-26 00:00:00.000`12L824`Complete`B`18T, 1" PITCH SPROCKET`1`0`0`1`0`1`1`P634572`1`2024-03-18 00:00:00.000`2024-03-04 00:00:00.000`1 OF 5 ITEMS  BRENT`2024-02-27 00:00:00.000`NULL
133672`EDG GEAR`2024-02-26 00:00:00.000`76037`Active`E`35T, 6 DP IDLER GEAR`5`0`0`5`3`0`0`RF 02/26/24`3`2024-03-25 00:00:00.000`2024-03-01 00:00:00.000`1 ITEM Greg V`2024-02-27 00:00:00.000`NULL
133665`PCMC`2024-02-26 00:00:00.000`76856`Complete`NULL`24T, 8 DP, L.H. HELICAL GEAR`4`4`0`8`0`8`4`P730621`1`2024-03-14 00:00:00.000`2024-02-29 00:00:00.000`1 ITEM  Caleb H`2024-02-27 00:00:00.000`NULL
133662`HAMPSHIRE`2024-02-23 00:00:00.000`1306652`Active`1`13.228OD 1.496W SHEAVE`50`0`0`50`1`0`0`56006`1`2024-03-20 00:00:00.000`2024-03-01 00:00:00.000`1 ITEM  Greg V`2024-02-26 00:00:00.000`NULL
133658`CENTRIC`2024-02-23 00:00:00.000`140X2X35-T1-K-W-SW-WN`Active`A`SAW TOOTH STYLE,HARDENED TEETH`62`0`0`62`11`0`0`87320`4`2024-04-18 00:00:00.000`2024-03-07 00:00:00.000`1 OF 6 ITEMS `NULL`NULL
133657`CENTRIC`2024-02-23 00:00:00.000`140X2X50-T1-K-W-SW-WN`Active`A`SAW TOOTH STYLE,HARDENED TEETH`8`1`0`9`12`0`0`87320`3`2024-04-18 00:00:00.000`2024-03-08 00:00:00.000`1 OF 6 ITEMS - JAMIE`2024-03-04 00:00:00.000`NULL
133656`CENTRIC`2024-02-23 00:00:00.000`140X2X35-WT-K-W-WN-SW-TS`Active`A`WET TIMBER STYLE,HARD'ND TEETH`16`2`0`18`12`0`0`87320`2`2024-04-18 00:00:00.000`2024-03-07 00:00:00.000`1 OF 6 ITEMS - JAMIE`2024-03-04 00:00:00.000`NULL
133655`CENTRIC`2024-02-23 00:00:00.000`140X2X35-K-W-SW-WN-TS`Active`-`SAW TOOTH STYLE,HARDENED TEETH`40`2`0`42`12`0`0`87320`1`2024-04-18 00:00:00.000`2024-03-07 00:00:00.000`1 OF 6 ITEMS - JAMIE`2024-03-04 00:00:00.000`NULL
133641`VALMET-GB`2024-02-22 00:00:00.000`028481`Active`NULL`110T, 2 MOD. GEAR`1`0`0`1`4`1`0`4201158705`2`2024-03-28 00:00:00.000`2024-02-28 00:00:00.000`1 OF 5 ITEMS - SEPARATE SHIP DATES - SHIPS LAST BY ITSELF Greg V`2024-02-23 00:00:00.000`NULL
133622`LEVEL 10`2024-02-21 00:00:00.000`507213`Active`4`10T, LOW HEADROOM HOIST`30`2`0`32`11`0`0`0007571-00`1`2024-04-19 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM   BRENT`2024-02-22 00:00:00.000`NULL
133621`LEVEL 10`2024-02-21 00:00:00.000`10325`Active`B1`51T RING GEAR - 4140 H.T.`100`2`0`102`7`0`0`0007570-00`1`2024-04-08 00:00:00.000`2024-02-29 00:00:00.000`1 ITEM  BRENT`2024-02-22 00:00:00.000`NULL
133620`WESTERN`2024-02-21 00:00:00.000`C74122-6`Complete`C`40T SPLIT PULLEY x 2" BORE`2`0`0`2`0`2`2`076855-00`1`2024-03-19 00:00:00.000`2024-03-05 00:00:00.000`1 ITEM  Caleb H`2024-02-22 00:00:00.000`NULL
133610`PSA - ONTA`2024-02-21 00:00:00.000`50L623`Active`G`45T, BRONZE R.H. HELICAL GEAR`14`0`0`14`2`0`0`P634174`1`2024-03-25 00:00:00.000`2024-02-28 00:00:00.000`1 ITEM - BLANKET ORDER   BRENT `2024-02-21 00:00:00.000`NULL
133604`EDG GEAR`2024-02-21 00:00:00.000`29933`Active`U`126T, 6 DP REGISTER GEAR`1`0`0`1`4`0`0`RF 02/21/24`1`2024-03-26 00:00:00.000`2024-02-28 00:00:00.000`1 ITEM Greg V`2024-02-22 00:00:00.000`NULL
133591`VALMET-GB`2024-02-20 00:00:00.000`K051H9926`Complete`NULL`P40-AT10 PULLEY`1`0`0`1`0`1`1`4201158617`3`2024-03-21 00:00:00.000`2024-03-07 00:00:00.000`1 OF 4 ITEMS - SEPARATE SHIP DATES - SHIPS LAST BY ITSELF Greg V`2024-02-22 00:00:00.000`NULL
133573`EDG GEAR`2024-02-19 00:00:00.000`279838`Active`NULL`16T, 8 DP PINION`2`0`0`2`3`0`0`RF 02/19/24`1`2024-04-05 00:00:00.000`2024-03-07 00:00:00.000`1 ITEM Greg V`2024-02-19 00:00:00.000`NULL
133556`UN-PENNSYL`2024-02-16 00:00:00.000`LARGE SPROCKET`Complete`NULL`50A25`1`0`0`1`0`1`1`RACHEL 2-14-24`4`2024-03-11 00:00:00.000`2024-02-29 00:00:00.000`1 OF 4 ITEMS   BRENT`2024-02-21 00:00:00.000`NULL
133555`UN-PENNSYL`2024-02-16 00:00:00.000`SMALL SPROCKET`Complete`NULL`50C15`1`0`0`1`0`1`1`RACHEL 2-14-24`3`2024-03-11 00:00:00.000`2024-02-27 00:00:00.000`1 OF 4 ITEMS   BRENT`2024-02-21 00:00:00.000`NULL
133554`UN-PENNSYL`2024-02-16 00:00:00.000`GEAR CARRIER`Complete`NULL`17T, 16/32 SPLINE ONLY`1`0`0`1`0`1`1`RACHEL 2-14-24`2`2024-03-11 00:00:00.000`2024-03-04 00:00:00.000`1 OF 4 ITEMS   BRENT`2024-02-21 00:00:00.000`NULL
133553`UN-PENNSYL`2024-02-16 00:00:00.000`SPROCKET SPLINE`Complete`NULL`17T, 16/32 COUPLER`1`0`0`1`0`1`1`RACHEL 2-14-24`1`2024-03-11 00:00:00.000`2024-03-01 00:00:00.000`1 OF 4 ITEMS   BRENT`2024-02-21 00:00:00.000`NULL
133538`EDG GEAR`2024-02-15 00:00:00.000`51720`Active`A`64T, 8 DP COMPOUND GEAR`4`0`0`4`2`0`0`RF 02/15/24`2`2024-03-26 00:00:00.000`2024-02-19 00:00:00.000`1 ITEM Greg V`2024-02-15 00:00:00.000`NULL
133536`QUAL-CONN`2024-02-15 00:00:00.000`CR-9122`Complete`10`46T, 8DP R.H. HELICAL GEAR`1`1`0`2`0`2`1`23498`1`2024-03-19 00:00:00.000`2024-02-19 00:00:00.000`1 ITEM   BRENT`2024-02-15 00:00:00.000`4633
133531`BW - HUNT`2024-02-14 00:00:00.000`176192`Complete`NULL`37T, 6DP SPUR GEAR`1`0`0`1`0`2`1`P427960`3`2024-03-15 00:00:00.000`2024-02-19 00:00:00.000`3RD OF 3 ITEMS Greg V`2024-02-15 00:00:00.000`NULL
133530`BW - HUNT`2024-02-14 00:00:00.000`139068`Complete`NULL`29T, 6DP IDLER GEAR`1`0`0`1`0`1`1`P427960`2`2024-03-15 00:00:00.000`2024-02-21 00:00:00.000`2ND OF 3 ITEMS Greg V`2024-02-15 00:00:00.000`NULL
133529`BW - HUNT`2024-02-14 00:00:00.000`UR44668`Complete`NULL`24T, 6 DP SPUR GEAR - NITRIDED`1`0`0`1`0`1`1`P427960`1`2024-03-15 00:00:00.000`2024-02-22 00:00:00.000`1ST OF 3 ITEMS Greg V`2024-02-15 00:00:00.000`NULL
133523`EDG GEAR`2024-02-14 00:00:00.000`445365`Active`A`72T, 6 DP UPPER GEAR`2`0`0`2`3`0`0`RF 02/14/24`3`2024-03-28 00:00:00.000`2024-03-04 00:00:00.000`1 ITEM Greg V`2024-02-15 00:00:00.000`NULL
133519`PSA - CUYA`2024-02-14 00:00:00.000`1411891`Active`5`SEAMING LEVER SHAFT`60`4`0`64`9`0`0`P633748`1`2024-04-11 00:00:00.000`2024-02-21 00:00:00.000`1 ITEM - BLANKET ORDER   BRENT `2024-02-15 00:00:00.000`NULL
133476`EDG GEAR`2024-02-12 00:00:00.000`339853`Active`B`47T, 6 DP FEED ROLL GEAR`12`0`0`12`3`0`0`RF 02/12/24`3`2024-03-25 00:00:00.000`2024-02-19 00:00:00.000`1 ITEM  Greg V`2024-02-13 00:00:00.000`NULL
133474`EDG GEAR`2024-02-12 00:00:00.000`322511`Active`B`126T, 6 DP DRIVE GEAR`6`0`0`6`1`0`0`RF 02/12/24`1`2024-03-25 00:00:00.000`2024-02-15 00:00:00.000`1 ITEM  Greg V`2024-02-13 00:00:00.000`NULL
133471`CMD CORP.`2024-02-09 00:00:00.000`204155`Active`001`38T, 12 DP STEEL`8`0`0`8`3`0`0`408749`2`2024-03-26 00:00:00.000`2024-03-05 00:00:00.000`1 OF 2 ITEMS   BRENT`2024-02-12 00:00:00.000`NULL
133470`CMD CORP.`2024-02-09 00:00:00.000`204154`Active`000`38T, 12 DP, NYLASTEEL NSM`8`0`0`8`3`0`0`408749`1`2024-03-26 00:00:00.000`2024-03-05 00:00:00.000`1 OF 2 ITEMS   BRENT`2024-02-12 00:00:00.000`NULL
133452`EMT INTERN`2024-02-09 00:00:00.000`2-10281`Active`B`146T, BACKLASH GEAR`1`0`0`1`7`0`0`213892`2`2024-04-08 00:00:00.000`2024-03-15 00:00:00.000`1 OF 2 ITEMS  BRENT`2024-02-13 00:00:00.000`NULL
133451`EMT INTERN`2024-02-09 00:00:00.000`2-10280`Active`B`146T, BACKLASH SET`1`0`0`1`7`0`0`213892`1`2024-04-08 00:00:00.000`2024-03-15 00:00:00.000`1 OF 2 ITEMS  BRENT`2024-02-13 00:00:00.000`NULL
133448`PCMC`2024-02-09 00:00:00.000`30056431.002`Active`NULL`P40-8M-30`1`0`0`1`4`0`0`P728884`1`2024-04-11 00:00:00.000`2024-03-28 00:00:00.000`1 ITEM  Caleb H`2024-02-12 00:00:00.000`NULL
133444`MARTIN`2024-02-09 00:00:00.000`261-908`Active`C`16T, 8/16 DP SPLINED COUPLER`40`2`0`42`1`0`0`387667`3`2024-03-19 00:00:00.000`2024-02-27 00:00:00.000`1 OF 3 ITEMS - SEPARATE SHIP DATES - SHIPS FIRST WITH JOB#133443 Caleb H`2024-02-12 00:00:00.000`NULL
133441`WEINIG `2024-02-09 00:00:00.000`140X2X35-K-W-ST`Complete`2`HARDENED FEED ROLLER`50`0`0`50`0`50`50`123206-000 OP`1`2024-03-21 00:00:00.000`2024-02-13 00:00:00.000`1 ITEM - JAMIE`2024-02-09 00:00:00.000`NULL
133436`CENTRISYS`2024-02-08 00:00:00.000`10461`Active`B`SPLINE SOCKET`5`0`0`5`3`0`0`PO108354`1`2024-04-01 00:00:00.000`2024-03-07 00:00:00.000`1 ITEM  BRENT`2024-02-09 00:00:00.000`NULL
133422`VALMET-GB`2024-02-08 00:00:00.000`K051D5253`Complete`NULL`90T, AT5 PULLEY`2`0`0`2`0`2`2`4201158377`3`2024-03-18 00:00:00.000`2024-02-27 00:00:00.000`1 OF 4 ITEMS - SEPARATE SHIP DATES - SHIPS FIRST WITH JOB#133420 Greg V`2024-02-12 00:00:00.000`NULL
133420`VALMET-GB`2024-02-08 00:00:00.000`KW02201334`Complete`NULL`P58-AT5 PULLEY`1`0`0`1`0`1`1`4201158377`1`2024-03-18 00:00:00.000`2024-02-29 00:00:00.000`1 OF 4 ITEMS - SEPARATE SHIP DATES - SHIPS LAST WITH JOB#133422 Greg V`2024-02-12 00:00:00.000`NULL
133418`PSA - ONTA`2024-02-08 00:00:00.000`6964-BA`Active`B`25T, 6 DP SPUR GEAR`1`0`0`1`8`0`0`P633464`1`2024-04-02 00:00:00.000`2024-03-14 00:00:00.000`1 OF 2 ITEMS - SEPARATE SHIP DATES - THIS SHIPS LAST  BRENT`2024-02-09 00:00:00.000`NULL
133381`EDG GEAR`2024-02-06 00:00:00.000`136853`Active`C2`93T, 12 DP/21T, 8/16 DP`2`0`0`2`4`0`0`RF 02/06/24`1`2024-03-25 00:00:00.000`2024-02-14 00:00:00.000`1 ITEM  Greg V`2024-02-07 00:00:00.000`NULL
133365`EDG GEAR`2024-02-05 00:00:00.000`333263`Active`B`71T, 6 DP IDLER GEAR`10`0`0`10`1`0`0`RF 02/05/24`3`2024-03-19 00:00:00.000`2024-02-08 00:00:00.000`1 ITEM  Greg V`2024-02-07 00:00:00.000`NULL
133352`PSA - ONTA`2024-02-05 00:00:00.000`45129TBA`Active`0`180T, 6 MOD. SPUR GEAR`1`0`0`1`6`0`0`P633205`4`2024-05-22 00:00:00.000`2024-04-26 00:00:00.000`1 OF 4 ITEMS - SEPARATE SHIP DATES - SHIPS LAST BY ITSELF  BRENT`2024-02-06 00:00:00.000`NULL
133325`EDG GEAR`2024-02-02 00:00:00.000`501825`Active`NULL`60T, 4 MOD GSM GEAR`2`0`0`2`3`0`0`GREG 2-1-24`4`2024-03-28 00:00:00.000`2024-03-04 00:00:00.000`1 OF 7 ITEMS  Greg V`2024-02-12 00:00:00.000`NULL
133250`EDG GEAR`2024-01-29 00:00:00.000`496798`Active`B`30T, 8DP SERVO NIP GEAR`4`0`0`4`1`0`0`RF 01/29/24`6`2024-03-21 00:00:00.000`2024-02-23 00:00:00.000`1 ITEM  Greg V`2024-01-31 00:00:00.000`NULL
133240`PSA - CUYA`2024-01-29 00:00:00.000`121X02021`Active`NULL`40T, 8DP POCKET DRIVE GEAR`2`0`0`2`2`0`0`P632711`2`2024-03-21 00:00:00.000`2024-03-08 00:00:00.000`1 OF 2 ITEMS - SEPARATE SHIP DATES SHIPS LAST  BRENT`2024-01-30 00:00:00.000`NULL
133119`PSA - ONTA`2024-01-19 00:00:00.000`8S424`Active`C`D80A36 X 3.0" SPROCKET`6`0`0`6`4`0`0`P632221`1`2024-03-25 00:00:00.000`2024-03-05 00:00:00.000`1 ITEM   BRENT`2024-01-19 00:00:00.000`NULL
133078`CENTRISYS`2024-01-17 00:00:00.000`38134`Complete`A`ROTODIFF CARRIER-4140 MATERIAL`5`0`0`5`0`5`5`PO107881`1`2024-03-20 00:00:00.000`2024-03-11 00:00:00.000`1 ITEM   BRENT`2024-01-19 00:00:00.000`NULL
133050`EMERSON`2024-01-16 00:00:00.000`1447-626`Complete`G`12T, 16DP, DELRIN DRIVE GEAR`40`0`0`40`0`40`40`4121139721`1`2024-03-21 00:00:00.000`2024-02-27 00:00:00.000`1 ITEM  BRENT`2024-01-17 00:00:00.000`NULL
132965`COPE-GODFR`2024-01-10 00:00:00.000`DRGR MIHN-R54399`Active`00`GSM9X4X3 ROLLER W/BEARING`64`0`0`64`7`0`0`PO000018382-2`1`2024-04-10 00:00:00.000`2024-03-11 00:00:00.000`1 ITEM  Mike K`2024-01-10 00:00:00.000`NULL
132895`METAL`2024-01-05 00:00:00.000`19T, 3 DP PINION`Active`A`4140, W/KEY, 2 SS`1`0`0`1`3`0`0`10118`4`2024-03-28 00:00:00.000`2024-02-22 00:00:00.000`1 OF 4 ITEMS   BRENT`2024-01-08 00:00:00.000`NULL
132892`METAL`2024-01-05 00:00:00.000`115T, 3DP BULL GEAR`Active`NULL`4140, W/TAPER KEYWAY`1`0`0`1`2`0`0`10118`1`2024-03-28 00:00:00.000`2024-02-23 00:00:00.000`1 OF 4 ITEMS  BRENT`2024-01-08 00:00:00.000`NULL
130263`PSA - ONTA`2023-07-11 00:00:00.000`1L697`Complete`G`HUB - SAFETY CLUTCH DRIVE`12`0`0`12`0`12`12`P620481`1`2023-08-22 00:00:00.000`2023-08-03 00:00:00.000`1 ITEM - BLANKET ORDER - SHIP ONLY AS NEEDED  Caleb H`2023-07-12 00:00:00.000`NULL
128676`PSA - ONTA`2023-03-13 00:00:00.000`96L844`Active`D`13T, TIMING SHAFT, 416HT`14`0`1`13`0`29`10`P612774`1`2023-04-24 00:00:00.000`2023-03-27 00:00:00.000`1 ITEM - BLANKET ORDER   BRENT `2023-03-14 00:00:00.000`NULL

(143 rows affected)
